id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2038283,Stay Across from Harvard's Campus!,4521987,Kris,,Mid-Cambridge,42.37247,-71.11381,Entire home/apt,144,5,184,2022-12-11,1.69,1,39,28,ROC-19403721-002
2092181,Haven in Cambridge (entire place!),10641173,Randi,,Wellington-Harrington,42.37312,-71.0901,Entire home/apt,139,1,50,2022-08-27,0.48,1,0,2,STR-20621
2176599,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,340,31,6,2021-06-27,0.06,13,365,0,C0281180491
2223447,HarvardSq. Bright&Quiet 1 BdrApt MONTHLY/LONG TERM,7421025,Doriana,,Mid-Cambridge,42.37125,-71.11183,Entire home/apt,95,91,34,2018-09-01,0.36,2,212,0,
2244415,WORK FROM HOME FLAT- Perfect HARVARD SQUARE,3668535,Jonas,,Mid-Cambridge,42.37248,-71.11488,Entire home/apt,232,2,100,2022-11-21,0.94,3,331,11,C0191060491
2451591,Large Master Bedroom + Full Private Bath,12535522,Mona,,Cambridgeport,42.36093,-71.10642,Private room,129,30,23,2022-11-26,0.22,1,355,4,C0248480491
2467252,"West Cambridge, 1 or 2 BR in House near Harvard",12617598,Caroline HB,,Neighborhood Nine,42.38137,-71.12917,Private room,125,2,240,2022-12-13,2.26,1,81,25,STR-14032
2538983,Spacious 2 bedrooms Apt-Roof deck NO Cleaning fee,13000172,Dan,,Cambridgeport,42.35704,-71.10909,Entire home/apt,257,1,512,2022-12-07,5.67,1,209,104,C0082170491
2692752,Country home in the city center.,6501896,Shelley,,Cambridgeport,42.36276,-71.10195,Private room,95,2,65,2020-03-01,0.62,1,0,0,
2875646,Cozy and bright 1 bed near MIT-Kendall Sq-Harvrd,14649698,Blair,,Wellington-Harrington,42.37138,-71.08913,Entire home/apt,93,1,113,2021-06-26,1.07,1,0,0,STR-15578
2879039,Lux 1 Bedroom Cambridge Apt by MIT,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,340,31,14,2018-01-13,0.14,13,365,0,C0281180491
2914111,Friendly Pleasant Place,14883738,Minga & Jonathan,,Cambridgeport,42.36397,-71.10712,Private room,108,3,249,2022-04-19,2.37,1,0,1,STR-13851
3021937,"Large Room in Spacious Apartment, Bikes available",6030020,Jason,,Cambridgeport,42.35854,-71.10955,Private room,60,14,14,2022-11-24,0.13,5,333,5,
3100411,REMOTE LEARNING READY HARVARD UNI. APARTMENT,3668535,Jonas,,Mid-Cambridge,42.37318,-71.11334,Entire home/apt,194,1,67,2022-07-25,0.64,3,166,11,C0191060491
3234995,"Lovely, large 3 room apartment",10470174,Maria,,West Cambridge,42.37896,-71.12489,Entire home/apt,300,2,65,2022-12-08,0.97,1,173,7,ROC-1283538-003
3247833,Lovely East Cambridge Apartment,2212429,Jimmy,,Wellington-Harrington,42.37032,-71.09317,Entire home/apt,201,2,499,2022-12-26,5.25,2,229,78,STR-13597
3334098,"WELL-APPOINTED, BRIGHT AND SPACIOUS",5331227,/We Are Kai & Nina,,East Cambridge,42.36862,-71.08573,Entire home/apt,345,3,76,2022-11-22,0.75,1,352,17,
3474824,"Quiet Studio near MIT, Harvard & BU",5074009,Jeff&Liz,,Cambridgeport,42.35879,-71.10877,Entire home/apt,168,3,277,2022-12-04,2.68,2,0,32,STR-13865
3506058,Harvard/MIT,9270106,Nanette,,The Port,42.36965,-71.09932,Private room,94,1,721,2022-12-26,6.99,2,299,113,STR-13988
3510127,Harvard/MIT/Single/Private 1/2 Bath,9270106,Nanette,,The Port,42.36904,-71.09937,Private room,81,1,743,2022-12-24,7.21,2,346,106,STR-13988
3538589,Two bedroom third floor apartment,10337757,Bruce & Fariba,,Agassiz,42.38332,-71.11479,Entire home/apt,160,10,133,2022-11-18,1.30,1,39,3,13449
3649162,Walk to MIT or Harvard!  Perfect for a family,18446559,Meredith,,Cambridgeport,42.36343,-71.10305,Entire home/apt,180,4,11,2019-08-14,0.12,1,0,0,ROC-18348103-003
3678159,Private room in charming Cambridge apartment,4026958,Robert,,Riverside,42.36703,-71.11235,Private room,125,1,123,2022-12-16,1.56,1,45,39,STR-28731
3684345,Lux 2 Bedroom Cambridge Apt by MIT,9419684,Churchill,,East Cambridge,42.363747,-71.083374,Entire home/apt,475,31,12,2021-02-06,0.12,13,365,0,C0281180491
